 13501.0031   7404.8322    4.003   13847  2    21252  2    27.2   I      
 13493.6174   7408.8852    5.482   26997  6    19588  5    27.0   I      
 13491.4473   7410.0769     .792   31326  4    23916  4    29.3   I      
 13484.3056   7414.0015    1.899   23032  4    15618  3    27.9   I      
 13484.1961   7414.0617    2.017   27980  3    20566  4    27.3   I      
 13465.6732   7424.2602     .421   31626  5    24202  4    32.0   I      
 13461.6383   7426.4855    1.653                           27.0          
 13460.7757   7426.9614     .920                           28.4          
 13460.1512   7427.3060     .504    8605  5\2  16033  5\2  30.1   II     
 13449.2068   7433.3500    2.878   17959  4    10526  3    27.1   I      
 13447.7541   7434.1530    4.468   13088  3    20522  2    26.1   I      
 13447.1435   7434.4906     .416                           33.4          
 13443.9209   7436.2727    3.462   28358  3    20922  2    27.3   I      
 13441.9945   7437.3384     .693      63  2     7500  3    30.5   III 
 13440.5767   7438.1229    4.542   11601  1    19039  2    27.2   I      
 13439.0867   7438.9476     .679                           37.2        
 13433.3288   7442.1361    1.176   14226  0    21668  1    28.8   I      
 13429.6317   7444.1849     .679                           29.0          
 13427.1449   7445.5636     .977   18118  3\2  10673  5\2  27.0   II     
 13426.9074   7445.6953    2.774   26255  4    18809  4    26.5   I      
 13426.6930   7445.8142    1.556   18431  3    25877  4    27.1   I      
 13423.4861   7447.5930    1.118   24671  2    17224  2    27.5   I      
 13419.5716   7449.7655    6.190   29849  4    22399  5    26.9   I      
 13404.9480   7457.8925    5.724   18699  2    11241  3    27.1   I      
 13395.6979   7463.0424     .622    4113  5\2  11576  3\2  29.7   II     
 13395.1330   7463.3571     .406   19532  4    26995  3    35.2   I      
 13386.2330   7468.3192    1.744   26971  4    19503  3    26.9   I      
 13382.2129   7470.5627    4.997   22637  3    15166  3    26.5   I      
 13373.8528   7475.2326    1.141   25246  9\2  17771 11\2  28.5   II     
 13370.5669   7477.0697     .457   32458  4    24981  3    29.8   I      
 13370.1952   7477.2776     .716   19880  9\2  27357  9\2  30.6   II     
 13368.7922   7478.0623   14.553   13088  3    20566  4    26.1   I      
 13367.0840   7479.0179     .532   33527  4    26048  4    30.7   I      
 13360.3442   7482.7908     .361   17959  4    25442  3    29.4   I      
 13348.6128   7489.3670     .438   32796  3    25306  2    37.7   I      
 13342.4034   7492.8525     .597   30508  5    23015  5    29.2   I      
 13336.7047   7496.0541    2.202   29835  3    22338  3    26.7   I      
 13334.6661   7497.2001     .801   26111  1    18614  1    28.4   I      
 13315.5203   7507.9800     .449    8111  4    15618  3    29.5   I      
 13314.6985   7508.4434     .615   31929  3    24421  3    29.6   I      
 13311.6301   7510.1741     .497   12570  7\2  20080  7\2  29.1   II     
 13306.0947   7513.2984     .635   27593  5\2  20080  7\2  29.5   II     
 13304.8477   7514.0026     .856   26762  3\2  19248  5\2  27.3   II     
