,ref_lambda,lower,upper,click_selected
0,3000.109256,3000.04925381488,3000.16925818512,False
1,3000.328442,3000.26843543116,3000.3884485688395,False
2,3000.44531,3000.3853010938,3000.5053189061996,False
3,3000.919858,3000.85983960284,3000.97987639716,False
4,3000.973041,3000.91302153918,3001.03306046082,False
5,3001.264807,3001.20478170386,3001.32483229614,False
6,3001.336668,3001.2766412666397,3001.3966947333597,False
7,3002.342754,3002.2827071449196,3002.4028008550795,False
8,3002.386965,3002.3269172607,3002.4470127392997,False
9,3002.400798,3002.34074998404,3002.4608460159598,False
10,3002.485906,3002.42585628188,3002.54595571812,False
11,3002.686424,3002.62637027152,3002.74647772848,False
12,3002.964294,3002.90423471412,3003.0243532858794,False
13,3003.040576,3002.98051518848,3003.1006368115195,False
14,3003.604898,3003.54482590204,3003.6649700979597,False
15,3003.913459,3003.85338073082,3003.97353726918,False
16,3004.247635,3004.1875500473,3004.3077199526997,False
17,3004.637294,3004.57720125412,3004.6973867458796,False
18,3005.526926,3005.46681546148,3005.58703653852,False
19,3006.009103,3005.94898281794,3006.0692231820594,False
20,3006.164502,3006.10437870996,3006.22462529004,False
21,3006.633681,3006.5735483263798,3006.6938136736194,False
22,3006.931447,3006.87130837106,3006.9915856289394,False
23,3006.999359,3006.9392190128196,3007.0594989871797,False
24,3007.210327,3007.15018279346,3007.2704712065397,False
25,3007.624572,3007.56441950856,3007.6847244914397,False
26,3007.64409,3007.5839371181996,3007.7042428817995,False
27,3007.799025,3007.7388690195,3007.8591809804993,False
28,3007.832232,3007.7720753553604,3007.89238864464,False
29,3007.949966,3007.88980700068,3008.01012499932,False
30,3008.276871,3008.21670546258,3008.33703653742,False
31,3008.49695,3008.4367800610003,3008.557119939,False
32,3008.923149,3008.86297053702,3008.98332746298,False
33,3009.556472,3009.49628087056,3009.61666312944,False
34,3009.732587,3009.67239234826,3009.79278165174,False
35,3009.768724,3009.70852862552,3009.82891937448,False
36,3009.857595,3009.7973978481,3009.9177921518994,False
37,3010.002272,3009.94207195456,3010.06247204544,False
38,3010.498637,3010.43842702726,3010.55884697274,False
39,3010.735577,3010.67536228846,3010.7957917115396,False
40,3010.900434,3010.8402159913203,3010.96065200868,False
41,3011.302542,3011.24231594916,3011.36276805084,False
42,3011.602911,3011.5426789417797,3011.6631430582197,False
43,3012.550445,3012.4901939910997,3012.6106960088996,False
44,3012.707764,3012.6475098447204,3012.76801815528,False
45,3012.998361,3012.9381010327797,3013.0586209672197,False
46,3013.136559,3013.07629626882,3013.1968217311796,False
47,3013.599401,3013.53912901198,3013.65967298802,False
48,3014.112146,3014.05186375708,3014.1724282429195,False
49,3014.17566,3014.1153764868,3014.2359435132,False
50,3014.303328,3014.24304193344,3014.36361406656,False
51,3014.481867,3014.4215773626597,3014.5421566373398,False
52,3014.570453,3014.51016159094,3014.6307444090594,False
53,3014.641943,3014.58165016114,3014.70223583886,False
